activity_title,description,instruction,activity_type,subcategory,duration_minutes,tier,cost,location,min_age,max_age,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match,time,Category
"The Park Bench ""Triple Threat""","Focuses on explosive lower body and core using a standard, sturdy park bench.",MAIN EXERCISE ROUTINE:,Time-Bound,Calisthenics & Strength,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,"Warm-up (5 mins): Light jog around the perimeter, arm circles, leg swings.",,,,,,,,,,,,,,,,,
,,"Main Circuit (20 mins): Perform 4 rounds. Do each exercise for 45 seconds, resting 15 seconds between moves:",,,,,,,,,,,,,,,,,
,,"Explosive Step-Ups: Drive through the heel on the bench and leap upward, alternating legs.",,,,,,,,,,,,,,,,,
,,"Decline Push-Up to Mountain Climber: Hands on the ground, feet elevated on the bench. Do 1 push-up, then 4 rapid mountain climbers.",,,,,,,,,,,,,,,,,
,,Bench Box Jumps: Land soft on top of the bench with bent knees; step back down safely.,,,,,,,,,,,,,,,,,
,,"Bulgarian Split Squat Jumps: Rear foot elevated; jump off the front foot for 22 seconds, then swap sides.",,,,,,,,,,,,,,,,,
,,"Incline Bench Burpees: Hands on bench, hop feet back, do a push-up, hop feet back in, and explode straight up.",,,,,,,,,,,,,,,,,
,,Cool-down (5 mins): Deep quad and calf stretches.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
"Shuttle Run ""Pyramid"" Sprints","Tests lateral acceleration and deceleration using simple markers (cones, rocks, or trees). (Place 4 markers in a straight line at 5, 10, 15, and 20 meters from a starting line.)","Setup: Place 4 markers in a straight line at 5, 10, 15, and 20 meters from a starting line.",Time-Bound,Sprints & Agility,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,"Warm-up (5 mins): Dynamic leg stretches, high knees, butt kicks.",,,,,,,,,,,,,,,,,
,,Main Workout (20 mins): Complete 5 full pyramid sets with 60 seconds rest between sets:,,,,,,,,,,,,,,,,,
,,"Sprint to 5m, touch ground, sprint back to start.",,,,,,,,,,,,,,,,,
,,"Sprint to 10m, touch ground, sprint back to start.",,,,,,,,,,,,,,,,,
,,"Sprint to 15m, touch ground, sprint back to start.",,,,,,,,,,,,,,,,,
,,"Sprint to 20m, touch ground, sprint back to start.",,,,,,,,,,,,,,,,,
,,"Reverse order down (15m, 10m, 5m).",,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Walk off the heart rate, hamstring stretches.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
Heavy Ruck & Bodyweight Burnout,Combines weighted cardio with high-tempo calisthenics using a weighted pack. (Put 10-15 kg in a sturdy backpack or ruck pack.),Setup: Put 10-15 kg in a sturdy backpack or ruck pack.,Time-Bound,Calisthenics & Strength,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,MAIN EXERCISE ROUTINE:,,,,,,,,,,,,,,,,,
,,Structure (25 mins total): Run through 5 unbroken cycles of the following:,,,,,,,,,,,,,,,,,
,,"3-minute Power Walk/Fast Ruck: Fast, aggressive pace, driving through the heel and keeping the posture upright.",,,,,,,,,,,,,,,,,
,,"1-minute Backpack Thrusters: Hold pack at chest height, squat deep, then drive up pressing pack overhead.",,,,,,,,,,,,,,,,,
,,1-minute Backpack Walking Lunges: Keep pack on back or held at chest; alternate lunges.,,,,,,,,,,,,,,,,,
,,1-minute Rest.,,,,,,,,,,,,,,,,,
,,Cool-down (5 mins): Shoulder and lower back stretches.,,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
,,3. Take extended 2-minute rest breaks between sets as needed for 30 minutes total.,,,,,,,,,,,,,,,,,
"Jump Rope ""EMOM"" (Every Minute on the Minute)",A relentless cardio and agility builder that takes up almost no space.,MAIN EXERCISE ROUTINE:,Time-Bound,HIIT & Explosive Power,30.0,1.0,Free,Outdoor/Indoor,14.0,75.0,Yes,High-intensity rhythmic movement provides vigorous proprioceptive feedback and heavy work input to regulate the nervous system.,"Proprioceptive, Vestibular, Tactile",Solo / Group,High,"Stamina, Energy, Strength, Focus, Stress Release","Restless, High Energy, Stressed, Lethargic, Seeking Focus",daytime,Movement / Exercise
,,"Warm-up (5 mins): Easy bounce, wrist rolls, dynamic calf stretches.",,,,,,,,,,,,,,,,,
,,"Main Workout (20 mins / 20 rounds): Start a timer. At the top of every minute, complete the assigned target, then rest for the remainder of that minute:",,,,,,,,,,,,,,,,,
,,Minute 1: 80 Basic Jump Rope turns.,,,,,,,,,,,,,,,,,
,,Minute 2: 20 Jump Squats (no rope).,,,,,,,,,,,,,,,,,
,,Minute 3: 50 High-Knee Rope Runs.,,,,,,,,,,,,,,,,,
,,Minute 4: 15 Burpees (no rope).,,,,,,,,,,,,,,,,,
,,(Repeat this sequence 5 total times).,,,,,,,,,,,,,,,,,
,,"Cool-down (5 mins): Calf, achilles, and forearms stretches.",,,,,,,,,,,,,,,,,
,,BEGINNER ALTERNATIVE (STEP-BY-STEP):,,,,,,,,,,,,,,,,,
,,1. Reduce tempo and impact: Perform all movements at 50% intensity.,,,,,,,,,,,,,,,,,
,,"2. Work for 20 seconds, rest for 40 seconds between exercises.",,,,,,,,,,,,,,,,,
