activity_id,activity_title,instruction,activity_type,category,subcategory,duration,difficulty,cost,location,age_range,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match
ACT-000001,Practice Tai Chi on Grass,"Tai chi is a series of gentle physical exercises and stretches. Stand on a grassy patch, start with feet shoulder-width apart, shift your weight onto one foot, and slowly move your arms in a flowing motion as if pushing through water. Repeat for 10-15 minutes to enhance balance and relaxation.",Time-Bound,Micro-Movement,"Stretching, Yoga",20 min,Tier-1,Free,Outdoor,60 to 90,Yes,"Slow, repetitive movements with a focus on balance and relaxation; no time pressure.","['Movement', 'Sight', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-000002,Knead and shape a loaf of homemade sourdough bread,"Mix 500g flour, 350ml water, 100g sourdough starter, and 10g salt. Knead for 10 minutes, let rise for 4 hours, shape, and let ferment overnight for a flavorful finish. Bake at 230°C for 30 minutes.",Long-Term,Baking & Cooking,"Baking, Cooking",Multi-day,Tier-2,Low,Indoor,18 to 90,Partial,"Involves tactile engagement and predictable steps, but requires patience and time management","['Touch', 'Smell']",Solo,Low,"['Calming', 'Focus']","['Peaceful', 'Boredom', 'Anxiety']"
ACT-000003,Embark on a medium-difficulty hike,"Choose a local nature reserve and set out on a hike aiming for a scenic overlook or river point. Bring water, wear sturdy shoes, and enjoy the sights and sounds of nature along the way.",Time-Bound,Nature & Outdoors,"Hiking, Nature Walks",3 hrs,Tier-2,Free,Outdoor,14 to 70,Partial,"Predictable path, sensory-rich environment, potential for solitude or social interaction","['Sight', 'Sound', 'Movement']",Optional Group,Medium,"['Energising', 'Calming']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000004,Sketch a lifelike leaf or flower,"Find a leaf or flower, observe its details closely, and use pencils to sketch it with natural shading techniques, capturing its texture and form.",Time-Bound,Creative Arts,"Drawing, Painting",40 min,Tier-2,Free,Indoor,12 to 80,Yes,"Focuses attention, allows for creative expression, and can be done at one's own pace","['Sight', 'Touch']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful', 'Boredom']"
ACT-000005,Transplant seedlings into your garden,"Carefully remove seedlings from starter pots, dig small holes in your garden, and place each seedling in a hole, ensuring they have enough space to grow.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",40 min,Tier-2,Low,Outdoor,16 to 80,Yes,"Predictable steps, tactile engagement, calming outdoor environment","['Touch', 'Sight']",Solo,Low,"['Calming', 'Focus']","['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000006,Gentle Neck Stretches in the Kitchen,"Stand comfortably in your kitchen, relax your shoulders, and slowly rotate your head from side to side, feeling the stretch in your neck. Repeat 5 times on each side.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,18 to 90,Yes,"Simple movements, can be done at your own pace, soothing and grounding",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000007,Try a seated forward bend,"Sit on the floor, extend your legs, and reach for your toes, holding the stretch for several breaths.",Micro,Fitness & Exercise,Stretching,10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple, calming stretch with no complex steps, can be done at your own pace","['Touch', 'Movement']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000008,Shoulder Circles in Your Living Room,Stand comfortably in your living room and gently circle your shoulders forward and then backward ten times.,Micro,Nature & Outdoors,"Hiking, Nature Walks",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple repetitive motion, no complex instructions, calming effect",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000009,Calf Stretch on a Step,Stand on a step with your heels hanging off the edge. Slowly lower your heels below the step and hold for several seconds to stretch your calves.,Micro,Creative Arts,"Drawing, Painting",10 min,Tier-1,Free,Indoor,16 to 80,Yes,"Simple, repetitive motion with a clear start and finish, can be done at your own pace",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful']"
ACT-000010,Standing Quad Stretch,"Stand tall, pull your right foot towards your buttocks with your right hand, keeping knees together, and hold for 30 seconds. Switch sides.",Micro,Physical Wellness,Stretching,10 min,Tier-1,Free,Indoor,12 to 80,Yes,"Simple, repetitive movement with clear start and end, can be done anywhere, helps with grounding","['Movement', 'Touch']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Neutral', 'Peaceful']"
