ID,Region,Country,City,Latitude,Longitude,Activity,Description,Category,Difficulty,Skill_Tier,Tier_Level,Indoor_Outdoor,Popularity,Duration,Price_Range,Frequency,Equipment_Needed
1,Europe,Sweden,Stockholm,25.1327,88.4388,reading,"In Stockholm, Sweden, participants can explore reading through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Crafts,Advanced,Tier 3,3,Indoor,4,Half day,$,Weekly,"book, lamp, chair"
2,Oceania,New Zealand,Wellington,54.1318,-56.274,dancing,"Experience the joy of dancing in Wellington, New Zealand, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Indoor,1,30 min,$,Monthly,"camera, map, backpack"
3,Europe,Germany,Berlin,-22.8341,11.2017,reading,"In Berlin, Germany, participants can explore reading through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Food,Advanced,Tier 3,3,Indoor,2,1 hour,$$,Weekly,"book, lamp, chair"
4,Americas,Canada,Montreal,10.8285,120.9899,ceramic sculpting,"Experience the joy of ceramic sculpting in Montreal, Canada, surrounded by supportive mentors and local tradition.",Food,Intermediate,Tier 2,2,Indoor,5,Half day,$$,Seasonal,"kiln, ceramic tools, glaze"
5,Asia,India,Chennai,-14.6756,41.3945,jewelry making,"Experience the joy of jewelry making in Chennai, India, surrounded by supportive mentors and local tradition.",Food,Intermediate,Tier 2,2,Outdoor,5,2 hours,$$$,Monthly,"pliers, wire, beads"
6,Africa,Kenya,Mombasa,15.943,20.6989,bag making,"Experience the joy of bag making in Mombasa, Kenya, surrounded by supportive mentors and local tradition.",Lifestyle,Easy,Tier 1,1,Indoor,5,30 min,$$$,Monthly,"needle, thread, fabric"
7,Africa,Kenya,Nairobi,5.1003,-44.4318,book club,"Experience the joy of book club in Nairobi, Kenya, surrounded by supportive mentors and local tradition.",Food,Easy,Tier 1,1,Indoor,3,30 min,$$,Seasonal,"notebook, pen, reading glasses"
8,Asia,China,Chengdu,-28.0882,-97.7918,metal crafting,"Metal crafting sessions in Chengdu, China, offer creativity, culture, and community learning.",Technology,Easy,Tier 1,1,Indoor,2,1 hour,$,Daily,"forge, tongs, grinder"
9,Europe,Germany,Hamburg,51.8089,-78.3411,homegrown food,"In Hamburg, Germany, participants can explore homegrown food through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Lifestyle,Advanced,Tier 3,3,Outdoor,2,Half day,$,Weekly,"gloves, planter, seeds"
10,Asia,India,Jaipur,31.2442,-64.2263,pottery,"In Jaipur, India, participants can explore pottery through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Automotive,Advanced,Tier 3,3,Indoor,4,30 min,$,Weekly,"clay, wheel, apron"
11,Americas,Canada,Vancouver,-8.9761,-53.5881,vehicle detailing,"Experience the joy of vehicle detailing in Vancouver, Canada, surrounded by supportive mentors and local tradition.",Crafts,Intermediate,Tier 2,2,Outdoor,4,30 min,$,Weekly,"notebook, pen, phone"
12,Oceania,Australia,Melbourne,23.3479,-85.0141,electronics tinkering,"In Melbourne, Australia, participants can explore electronics tinkering through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Food,Easy,Tier 1,1,Outdoor,3,1 hour,$$,Daily,"breadboard, USB cable, resistors"
13,Americas,USA,Portland,53.1952,39.1411,folk dance,"In Portland, USA, participants can explore folk dance through hands-on experience ideal for those seeking a intermediate yet rewarding challenge.",Crafts,Intermediate,Tier 2,2,Outdoor,3,Half day,$,Seasonal,"music player, dance shoes, mirrors"
14,Asia,Turkey,Istanbul,59.745,-79.114,car maintenance,"In Istanbul, Turkey, participants can explore car maintenance through hands-on experience ideal for those seeking a advanced yet rewarding challenge.",Wellness,Advanced,Tier 3,3,Outdoor,3,Half day,$$,Weekly,"wax, sponge, bucket"
15,Americas,Argentina,Buenos Aires,40.7921,66.8532,car cleaning,"In Buenos Aires, Argentina, participants can explore car cleaning through hands-on experience ideal for those seeking a easy yet rewarding challenge.",Culture,Easy,Tier 1,1,Outdoor,1,Half day,$,Daily,"wax, sponge, bucket"
16,Oceania,New Zealand,Auckland,-24.8465,-95.5393,knife making,"Experience the joy of knife making in Auckland, New Zealand, surrounded by supportive mentors and local tradition.",Wellness,Intermediate,Tier 2,2,Outdoor,2,Half day,$$$,Daily,"steel, anvil, hammer"
17,Americas,Argentina,Córdoba,-16.7435,-40.1594,interior organization,"Interior organization sessions in Córdoba, Argentina, offer creativity, culture, and community learning.",Lifestyle,Intermediate,Tier 2,2,Indoor,3,Half day,$,Weekly,"camera, map, backpack"
18,Asia,Japan,Sapporo,57.1837,-44.4203,bead design,"Experience the joy of bead design in Sapporo, Japan, surrounded by supportive mentors and local tradition.",Automotive,Advanced,Tier 3,3,Outdoor,5,Half day,$$,Daily,"string, needle, clips"
19,Oceania,Australia,Perth,18.3912,-68.3127,DIY home,"Diy home sessions in Perth, Australia, offer creativity, culture, and community learning.",Automotive,Easy,Tier 1,1,Outdoor,5,30 min,$$$,Daily,"toolbox, tape measure, gloves"
