activity_title,description,instruction,activity_type,subcategory,duration_minutes,tier,cost,location,min_age,max_age,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match,time,Category
Physiological Sigh Reset Protocol,Utilize double-inhale physiological sighs to rapidly offload CO2 and down-regulate the nervous system.,1. Sit comfortably upright or lie back in a quiet space.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,"The double-inhale mechanics force physiological offloading of CO2, offering predictable sensory relief.","Proprioceptive, Rhythm",Solo,Low,"Calm, Stress Relief, Relaxation","Anxious, Stressed, Overwhelmed, Frustrated",anytime,Micro-movements & Breathwork
4-7-8 Tranquilizing Breath Protocol,A structured breathing pattern that acts as a natural nervous system sedative before rest.,1. Exhale completely through your mouth with a soft whoosh sound.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Counting intervals provides a concrete cognitive focus anchor during stress.,"Rhythm, Sound",Solo,Low,"Sleep, Calm, Stress Relief","Anxious, Stressed, Tired, Overwhelmed",nighttime,Micro-movements & Breathwork
Classic Box Breathing (4-4-4-4),Equalize autonomic nervous system tone with a symmetrical four-part breathing square.,1. Inhale through your nose for 4 seconds.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Symmetrical timing structure provides a steady mental metronome.,"Rhythm, Focus",Solo,Low,"Focus, Calm, Stress Relief","Anxious, Stressed, Overwhelmed, Frustrated",anytime,Micro-movements & Breathwork
Extended Exhale 1:2 Cadence,Double your exhale duration relative to your inhale to activate vagal nerve dampening.,1. Inhale quietly through your nose for 4 seconds.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Extended exhales slow the heart rate rapidly without requiring complex mental steps.,"Rhythm, Proprioceptive",Solo,Low,"Calm, Relaxation, Stress Relief","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Coherent Resonant Breathing (5.5:5.5),Breathe at approximately 5.5 breaths per minute to maximize heart rate variability (HRV) coherence.,1. Inhale gently through your nose for 5.5 seconds.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Continuous smooth wave cadence prevents abrupt sensation shifts.,Rhythm,Solo,Low,"Calm, Relaxation, Focus","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Chandra Bhedana (Moon Breathing),Cool down body temperature and quiet mental chatter by breathing exclusively through the left nostril channel.,1. Sit tall and block your right nostril gently with your right thumb.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Unilateral nostril tactile occlusion provides focused hand-to-face spatial grounding.,"Touch, Rhythm",Solo,Low,"Calm, Relaxation, Sleep","Anxious, Stressed, Tired",nighttime,Micro-movements & Breathwork
Left-Nostril Single Channel Focus,Isolate left-nostril airflow to engage parasympathetic pathways directly.,1. Gently block your right nostril with your thumb.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Single-side repetition eliminates complex switching steps for easy execution.,"Touch, Rhythm",Solo,Low,"Calm, Relaxation, Rest","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Bhramari Humming Bee Breath,Produce internal cranial sound vibration through humming exhales to soothe sensory tension.,"1. Sit tall, close eyes, and place thumbs over ears or fingers gently over eyes.",Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Self-generated acoustic resonance offers deep internal sensory feedback.,"Sound, Proprioceptive",Solo,Low,"Calm, Stress Relief, Mindfulness","Anxious, Stressed, Overwhelmed, Frustrated",anytime,Micro-movements & Breathwork
Dirga Pranayama (3-Part Yogic Breath),"Fill the abdomen, ribcage, and upper chest sequentially for full wave-like lung expansion.",1. Place one hand on your belly and one on your chest.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Sequential torso placement gives explicit tactile feedback across three torso zones.,"Touch, Proprioceptive",Solo,Low,"Calm, Focus, Relaxation","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Ujjayi Ocean Breath,Create slight glottic throat constriction to make a whispering ocean sound that regulates breathing rate.,1. Inhale through your nose while slightly constricting the back of your throat.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Auditory throat friction sound provides an internal focus anchor.,"Sound, Rhythm",Solo,Low,"Calm, Focus, Relaxation","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
Abdominal Wave Release,Allow effortless belly rises paired with completely passive falling exhales.,1. Lie flat on your back with knees bent or on a comfortable cushion.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Zero-force exhales reduce performance pressure or anxiety around breathing.,"Touch, Proprioceptive",Solo,Low,"Relaxation, Calm, Rest","Anxious, Stressed, Tired",anytime,Micro-movements & Breathwork
Pursed-Lip Airway Relief,Pucker lips on the exhale to create back-pressure in lungs and slow exhalation speed.,1. Inhale normal breath through your nose for 2 seconds.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Lip resistance provides tangible physical feedback during exhales.,"Touch, Rhythm",Solo,Low,"Calm, Relaxation, Stress Relief","Anxious, Stressed, Overwhelmed",anytime,Micro-movements & Breathwork
7-11 Deep Relaxation Breathing,Extend exhale duration significantly to 11 counts to clear acute stress.,1. Inhale deeply through your nose for 7 counts.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Asymmetrical 7:11 counts require mental tracking that diverts focus from anxious thoughts.,"Rhythm, Focus",Solo,Low,"Calm, Relaxation, Sleep","Anxious, Stressed, Overwhelmed",nighttime,Micro-movements & Breathwork
Body Scan Breath Sync,Direct mental focus and inhale sensation sequentially into tense body parts before exhaling tension.,"1. Lie down comfortably and inhale, focusing attention on your feet.",Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Systematic body scan path prevents mental wandering.,"Proprioceptive, Touch",Solo,Low,"Mindfulness, Relaxation, Calm","Anxious, Stressed, Tired, Overwhelmed",anytime,Micro-movements & Breathwork
Progressive Muscle Exhale Release,Tense specific muscle groups on the inhale and release completely on the exhale.,1. Inhale while squeezing your fists and arms tightly for 5 seconds.,Time-Bound,Calming Breathwork,5.0,1.0,Free,Indoor,12.0,99.0,Yes,Strong intentional tension contrasts accentuate the sensory awareness of relaxation.,"Proprioceptive, Touch",Solo,Low,"Relaxation, Stress Relief, Calm","Anxious, Stressed, Frustrated",anytime,Micro-movements & Breathwork
Kapalabhati (Rapid Abdominal Exhales),Rapid forced exhales through the nose driven by snappy belly contractions to clear mental fog.,1. Sit tall with hands on your knees.,Time-Bound,Energizing Breathwork,5.0,2.0,Free,Indoor,18.0,70.0,Yes,Rhythmic high-velocity abdominal pulses provide powerful physical arousal.,"Movement, Proprioceptive",Solo,High,"Energy, Focus, Alertness","Tired, Frustrated, Overwhelmed",daytime,Micro-movements & Breathwork
Bhastrika Bellows Breath,Equal forceful inhales and exhales through the nose mimicking a blacksmith bellows to surge energy.,1. Sit upright and raise hands near shoulders.,Time-Bound,Energizing Breathwork,5.0,2.0,Free,Indoor,18.0,70.0,Yes,Arm pumping combined with fast nasal breathing provides energetic motor feedback.,"Movement, Sound",Solo,High,"Energy, Alertness, Focus","Tired, Frustrated",daytime,Micro-movements & Breathwork
Surya Bhedana (Sun Breathing),Inhale exclusively through the right nostril to stimulate sympathetic activation and warmth.,1. Block your left nostril with your ring finger.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Right-channel stimulation promotes wakefulness without overwhelming physical strain.,"Touch, Rhythm",Solo,Moderate,"Energy, Focus, Alertness","Tired, Overwhelmed",daytime,Micro-movements & Breathwork
Right-Nostril Single Channel Drive,Isolate right-nostril breathing continuously to increase mental drive.,1. Block your left nostril gently with your fingers.,Time-Bound,Energizing Breathwork,5.0,1.0,Free,Indoor/Outdoor,12.0,99.0,Yes,Single-side nasal pressure provides constant tactile presence.,"Touch, Rhythm",Solo,Moderate,"Energy, Focus","Tired, Overwhelmed",daytime,Micro-movements & Breathwork
